Title (if known),Season,New Commitment Status,"""Known"" vs. Additional",Status Quo,ASQ,Invest in All,Source,Exclusivity / Window,Year,Month,Month Year,Market,Region,New vs. Returning,Content type,Performance Tier,Tier Confirmed?,Budget Tier,PSI Content genre,Genre tier map,PSI Content format,Format,Genre,Co-pro flag,Anime flag,Animated flag,VFX flag,Release strategy,Simplified Categories,Volume (eps),Hours per ep,Volume (hours)
US OP Baseline,N/A,Runoff,Known,Include,Include,Include,TBD,Exclusive,2023,1,1/1/23,US,NA,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
LATAM OP Baseline,N/A,Runoff,Known,Include,Include,Include,TBD,Exclusive,2023,1,1/1/23,LATAM - ignore,LATAM,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
EMEA OP Baseline,N/A,Runoff,Known,Include,Include,Include,TBD,Exclusive,2023,1,1/1/23,EMEA - ignore,EMEA,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
APAC OP Baseline,N/A,Runoff,Known,Include,Include,Include,TBD,Exclusive,2023,1,1/1/23,Rest of APAC,APAC,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
Development costs,N/A,Development,Known,Include,Include,Include,TBD,Exclusive,2023,1,1/1/23,US,NA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
Talent costs,N/A,Development,Known,Include,Include,Include,TBD,Exclusive,2023,1,1/1/23,US,NA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
Residuals,N/A,Development,Known,Include,Include,Include,TBD,Exclusive,2023,1,1/1/23,US,NA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
Covid protocols,N/A,Development,Known,Include,Include,Include,TBD,Exclusive,2023,1,1/1/23,US,NA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
Other costs,N/A,Development,Known,Include,Include,Include,TBD,Exclusive,2023,1,1/1/23,US,NA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
Development costs - uncommitted,N/A,Development,Known,Include,Include,Include,TBD,Exclusive,2026,1,1/1/26,US,NA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
Talent costs - uncommitted,N/A,Development,Known,Include,Include,Include,TBD,Exclusive,2026,1,1/1/26,US,NA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
